Date,EONIA_ESTR
2014-01-16,0.21499999999999997
2014-01-17,0.258
2014-01-20,0.27399999999999997
2014-01-21,0.26599999999999996
2014-01-22,0.15299999999999997
2014-01-23,0.12499999999999999
2014-01-24,0.106
2014-01-27,0.103
2014-01-28,0.09399999999999999
2014-01-29,0.072
2014-01-30,0.06999999999999999
2014-01-31,0.14300000000000002
2014-02-03,0.05500000000000001
2014-02-04,0.048
2014-02-05,0.059999999999999984
2014-02-06,0.047
2014-02-07,0.046
2014-02-10,0.041999999999999996
2014-02-11,0.03699999999999999
2014-02-12,0.085
2014-02-13,0.074
2014-02-14,0.05899999999999998
2014-02-17,0.06499999999999999
2014-02-18,0.06799999999999999
2014-02-19,0.079
2014-02-20,0.084
2014-02-21,0.08600000000000001
2014-02-24,0.084
2014-02-25,0.081
2014-02-26,0.083
2014-02-27,0.077
2014-02-28,0.174
2014-03-03,0.071
2014-03-04,0.072
2014-03-05,0.079
2014-03-06,0.078
2014-03-07,0.074
2014-03-10,0.082
2014-03-11,0.08600000000000001
2014-03-12,0.08699999999999998
2014-03-13,0.085
2014-03-14,0.073
2014-03-17,0.077
2014-03-18,0.075
2014-03-19,0.083
2014-03-20,0.078
2014-03-21,0.085
2014-03-24,0.084
2014-03-25,0.08699999999999998
2014-03-26,0.08600000000000001
2014-03-27,0.08899999999999998
2014-03-28,0.11
2014-03-31,0.603
2014-04-01,0.109
2014-04-02,0.127
2014-04-03,0.133
2014-04-04,0.127
2014-04-07,0.139
2014-04-08,0.131
2014-04-09,0.12399999999999999
2014-04-10,0.12199999999999998
2014-04-11,0.12399999999999999
2014-04-14,0.12399999999999999
2014-04-15,0.12199999999999998
2014-04-16,0.11899999999999998
2014-04-17,0.136
2014-04-22,0.132
2014-04-23,0.15299999999999997
2014-04-24,0.20899999999999996
2014-04-25,0.246
2014-04-28,0.313
2014-04-29,0.372
2014-04-30,0.315
2014-05-02,0.074
2014-05-05,0.040999999999999995
2014-05-06,0.022999999999999993
2014-05-07,0.175
2014-05-08,0.15399999999999997
2014-05-09,0.137
2014-05-12,0.106
2014-05-13,0.09899999999999999
2014-05-14,0.09199999999999998
2014-05-15,0.08699999999999998
2014-05-16,0.084
2014-05-19,0.09199999999999998
2014-05-20,0.111
2014-05-21,0.186
2014-05-22,0.252
2014-05-23,0.311
2014-05-26,0.33999999999999997
2014-05-27,0.38399999999999995
2014-05-28,0.15399999999999997
2014-05-29,0.15899999999999997
2014-05-30,0.363
