model,train_years,horizon,horizon_days,checkpoint_index,checkpoint_date,rmse,rmdse
MLP,1Y,6M,126,3922,2020-01-13,2.905930757522583,1.2173155546188354
MLP,1Y,6M,126,3932,2020-01-27,2.9126346111297607,1.1509124040603638
MLP,1Y,6M,126,3942,2020-02-10,2.9132306575775146,1.6300307512283325
MLP,1Y,6M,126,3952,2020-02-24,2.753701686859131,1.2846839427947998
MLP,1Y,6M,126,3962,2020-03-09,4.181870937347412,3.2055013179779053
MLP,1Y,6M,126,3972,2020-03-23,3.5715255737304688,3.205843925476074
MLP,1Y,6M,126,3982,2020-04-06,2.887566566467285,2.1663637161254883
MLP,1Y,6M,126,3992,2020-04-22,1.987924337387085,1.366675853729248
MLP,1Y,6M,126,4002,2020-05-06,3.255687713623047,3.051722764968872
MLP,1Y,6M,126,4012,2020-05-20,2.1828134059906006,1.354514479637146
MLP,1Y,6M,126,4022,2020-06-03,2.722668170928955,2.0460658073425293
MLP,1Y,6M,126,4032,2020-06-17,1.7468231916427612,1.0883649587631226
MLP,1Y,6M,126,4042,2020-07-01,1.9185103178024292,1.3482147455215454
MLP,1Y,6M,126,4052,2020-07-15,1.3643698692321777,0.7304209470748901
MLP,1Y,6M,126,4062,2020-07-29,1.299151062965393,0.6289635896682739
MLP,1Y,6M,126,4072,2020-08-12,1.2918258905410767,0.6334359645843506
MLP,1Y,6M,126,4082,2020-08-26,1.3771013021469116,0.7232109904289246
MLP,1Y,6M,126,4092,2020-09-09,1.2893109321594238,0.6417654156684875
MLP,1Y,6M,126,4102,2020-09-23,1.2789578437805176,0.7185430526733398
MLP,1Y,6M,126,4112,2020-10-07,1.288901448249817,0.662976086139679
MLP,1Y,6M,126,4122,2020-10-21,1.4334421157836914,0.8873063921928406
MLP,1Y,6M,126,4132,2020-11-04,1.1170276403427124,0.5833203196525574
MLP,1Y,6M,126,4142,2020-11-18,1.0380005836486816,0.6749345064163208
MLP,1Y,6M,126,4152,2020-12-02,0.8660382628440857,0.52145916223526
MLP,1Y,6M,126,4162,2020-12-16,0.9130693078041077,0.5762704610824585
MLP,1Y,6M,126,4172,2020-12-31,1.0909336805343628,0.79706209897995
MLP,1Y,6M,126,4182,2021-01-15,0.8843381404876709,0.5105963349342346
MLP,1Y,6M,126,4192,2021-01-29,0.9000702500343323,0.4551295042037964
MLP,1Y,6M,126,4202,2021-02-12,0.8956907391548157,0.4791986346244812
MLP,1Y,6M,126,4212,2021-02-26,1.065903663635254,0.7977917194366455
MLP,1Y,6M,126,4222,2021-03-12,0.8432332873344421,0.42970243096351624
MLP,1Y,6M,126,4232,2021-03-26,0.9235518574714661,0.43956613540649414
MLP,1Y,6M,126,4242,2021-04-13,1.0110085010528564,0.5648903846740723
MLP,1Y,6M,126,4252,2021-04-27,0.9744814038276672,0.5742469429969788
MLP,1Y,6M,126,4262,2021-05-11,0.9120796322822571,0.4621258080005646
MLP,1Y,6M,126,4272,2021-05-25,0.9314496517181396,0.5325264930725098
MLP,1Y,6M,126,4282,2021-06-08,1.042073369026184,0.5696293711662292
MLP,1Y,6M,126,4292,2021-06-22,1.0818533897399902,0.5678502321243286
MLP,1Y,6M,126,4302,2021-07-06,1.112648606300354,0.6485000252723694
MLP,1Y,6M,126,4312,2021-07-20,1.0368934869766235,0.5735759139060974
MLP,1Y,6M,126,4322,2021-08-03,1.1727139949798584,0.6634523868560791
MLP,1Y,6M,126,4332,2021-08-17,1.3753386735916138,0.743068277835846
MLP,1Y,6M,126,4342,2021-08-31,1.5534464120864868,0.8967859148979187
MLP,1Y,6M,126,4352,2021-09-14,1.658204436302185,0.8112337589263916
MLP,1Y,6M,126,4362,2021-09-28,1.6830856800079346,0.7654002904891968
MLP,1Y,6M,126,4372,2021-10-12,1.8851184844970703,0.8712983727455139
MLP,1Y,6M,126,4382,2021-10-26,2.2158195972442627,1.2314826250076294
MLP,1Y,6M,126,4392,2021-11-09,1.9242215156555176,0.9820461869239807
MLP,1Y,6M,126,4402,2021-11-23,1.8299219608306885,0.9177382588386536
MLP,1Y,6M,126,4412,2021-12-07,2.0956625938415527,1.3937071561813354
MLP,1Y,6M,126,4422,2021-12-21,1.803407907485962,1.076738953590393
MLP,1Y,6M,126,4432,2022-01-04,1.8423399925231934,1.0826935768127441
MLP,1Y,6M,126,4442,2022-01-18,1.956217646598816,1.19227933883667
MLP,1Y,6M,126,4452,2022-02-01,2.023834228515625,1.2843266725540161
MLP,1Y,6M,126,4462,2022-02-15,3.3098526000976562,1.619482398033142
MLP,1Y,6M,126,4472,2022-03-01,4.09344482421875,1.642378568649292
MLP,1Y,6M,126,4482,2022-03-15,9.368271827697754,2.5070605278015137
MLP,1Y,6M,126,4492,2022-03-29,9.87983226776123,2.2730815410614014
MLP,1Y,6M,126,4502,2022-04-12,13.825413703918457,2.612722396850586
MLP,1Y,6M,126,4512,2022-04-28,26.702138900756836,3.778747797012329
MLP,1Y,6M,126,4522,2022-05-12,5.041028022766113,2.8461475372314453
MLP,1Y,6M,126,4532,2022-05-26,39.70858383178711,22.80409812927246
MLP,1Y,6M,126,4542,2022-06-09,77.42792510986328,38.92326354980469
MLP,1Y,6M,126,4552,2022-06-23,43.981109619140625,22.364749908447266
MLP,1Y,6M,126,4562,2022-07-07,16.136505126953125,10.892146110534668
MLP,1Y,6M,126,4572,2022-07-21,17.258136749267578,13.112395286560059
MLP,1Y,6M,126,4582,2022-08-04,8.43535041809082,7.126615524291992
MLP,1Y,6M,126,4592,2022-08-18,2.5246055126190186,2.278116226196289
MLP,1Y,6M,126,4602,2022-09-01,1.422896146774292,0.9531930088996887
MLP,1Y,6M,126,4612,2022-09-15,2.5105717182159424,2.1507315635681152
MLP,1Y,6M,126,4622,2022-09-29,1.9339240789413452,1.4650626182556152
MLP,1Y,6M,126,4632,2022-10-13,1.1595566272735596,0.6140667200088501
MLP,1Y,6M,126,4642,2022-10-27,1.1580418348312378,0.6367362141609192
MLP,1Y,6M,126,4652,2022-11-10,2.1097161769866943,1.7094045877456665
MLP,1Y,6M,126,4662,2022-11-24,1.3926154375076294,0.8742938041687012
MLP,1Y,6M,126,4672,2022-12-08,1.1984049081802368,0.7770460844039917
MLP,1Y,6M,126,4682,2022-12-22,1.0160540342330933,0.6177974939346313
MLP,1Y,6M,126,4692,2023-01-06,0.970930814743042,0.5300499200820923
MLP,1Y,6M,126,4702,2023-01-20,1.025618076324463,0.5550536513328552
