Date,rel_day,error,model,event_name
2009-02-06,87.0,-1.676477,MLP1Y,2008 Financial Crisis
2009-02-09,88.0,0.98876673,MLP1Y,2008 Financial Crisis
2009-02-10,89.0,4.692285,MLP1Y,2008 Financial Crisis
2009-02-11,90.0,-0.40218678,MLP1Y,2008 Financial Crisis
2009-02-12,91.0,3.8931923,MLP1Y,2008 Financial Crisis
2009-02-13,92.0,-1.3621821,MLP1Y,2008 Financial Crisis
2009-02-16,93.0,0.601711,MLP1Y,2008 Financial Crisis
2009-02-17,94.0,3.7119431,MLP1Y,2008 Financial Crisis
2009-02-18,95.0,0.55325246,MLP1Y,2008 Financial Crisis
2009-02-19,96.0,0.069463186,MLP1Y,2008 Financial Crisis
2009-02-20,97.0,4.854479,MLP1Y,2008 Financial Crisis
2009-02-23,98.0,0.3314438,MLP1Y,2008 Financial Crisis
2009-02-24,99.0,0.7053851,MLP1Y,2008 Financial Crisis
2009-02-25,100.0,0.095140696,MLP1Y,2008 Financial Crisis
2009-02-26,101.0,-3.1394587,MLP1Y,2008 Financial Crisis
2009-02-27,102.0,1.4583087,MLP1Y,2008 Financial Crisis
2009-03-02,103.0,4.218707,MLP1Y,2008 Financial Crisis
2009-03-03,104.0,1.1382587,MLP1Y,2008 Financial Crisis
2009-03-04,105.0,-4.604097,MLP1Y,2008 Financial Crisis
2009-03-05,106.0,4.258107,MLP1Y,2008 Financial Crisis
2009-03-06,107.0,1.5461273,MLP1Y,2008 Financial Crisis
2009-03-09,108.0,0.28401822,MLP1Y,2008 Financial Crisis
2009-03-10,109.0,-6.3692656,MLP1Y,2008 Financial Crisis
2009-03-11,110.0,-1.7847595,MLP1Y,2008 Financial Crisis
2009-03-12,111.0,-1.4093692,MLP1Y,2008 Financial Crisis
2009-03-13,112.0,-0.7130928,MLP1Y,2008 Financial Crisis
2009-03-16,113.0,-3.3487518,MLP1Y,2008 Financial Crisis
2009-03-17,114.0,-0.1584202,MLP1Y,2008 Financial Crisis
2009-03-18,115.0,-0.3048982,MLP1Y,2008 Financial Crisis
2009-03-19,116.0,-0.63753927,MLP1Y,2008 Financial Crisis
2009-03-20,117.0,-1.1002102,MLP1Y,2008 Financial Crisis
