Date,SR10Y
2017-07-06,1.288071
2017-07-07,1.299081
2017-07-10,1.269026
2017-07-11,1.279778
2017-07-12,1.230214
2017-07-13,1.239698
2017-07-14,1.208262
2017-07-17,1.21541
2017-07-18,1.181004
2017-07-19,1.154728
2017-07-20,1.130845
2017-07-21,1.116727
2017-07-24,1.100421
2017-07-25,1.156484
2017-07-26,1.17151
2017-07-27,1.144811
2017-07-28,1.183178
2017-07-31,1.175392
2017-08-01,1.146711
2017-08-02,1.107453
2017-08-03,1.094279
2017-08-04,1.10032
2017-08-07,1.093333
2017-08-08,1.089085
2017-08-09,1.066562
2017-08-10,1.074873
2017-08-11,1.061708
2017-08-14,1.076503
2017-08-15,1.109133
2017-08-16,1.106097
2017-08-17,1.110559
2017-08-18,1.078477
2017-08-21,1.084912
2017-08-22,1.124317
2017-08-23,1.121544
2017-08-24,1.095747
2017-08-25,1.125925
2017-08-28,1.094724
2017-08-29,1.071169
2017-08-30,1.088155
2017-08-31,1.052179
2017-09-01,1.087651
2017-09-04,1.077816
2017-09-05,1.049536
2017-09-06,1.053287
2017-09-07,1.020646
2017-09-08,1.037355
2017-09-11,1.048695
2017-09-12,1.066848
2017-09-13,1.098025
2017-09-14,1.113086
2017-09-15,1.11988
2017-09-18,1.16837
2017-09-19,1.129931
2017-09-20,1.166703
2017-09-21,1.192933
2017-09-22,1.195681
2017-09-25,1.169669
2017-09-26,1.193993
2017-09-27,1.230357
2017-09-28,1.225965
2017-09-29,1.215867
2017-10-02,1.217256
2017-10-03,1.242148
2017-10-04,1.234218
2017-10-05,1.207975
2017-10-06,1.264318
2017-10-09,1.204973
2017-10-10,1.219875
2017-10-11,1.214019
2017-10-12,1.180847
2017-10-13,1.135467
2017-10-16,1.111554
2017-10-17,1.088015
2017-10-18,1.088997
2017-10-19,1.124694
2017-10-20,1.162776
2017-10-23,1.113685
2017-10-24,1.161127
2017-10-25,1.181924
2017-10-26,1.125579
2017-10-27,1.119957
2017-10-30,1.068362
2017-10-31,1.05307
2017-11-01,1.010302
2017-11-02,1.02321
2017-11-03,1.012078
2017-11-06,1.008262
2017-11-07,0.984384
2017-11-08,0.980168
2017-11-09,1.063745
2017-11-10,1.078705
2017-11-13,1.087408
2017-11-14,1.079536
2017-11-15,1.049545
2017-11-16,1.065294
2017-11-17,1.062065
2017-11-20,1.055917
2017-11-21,1.021664
2017-11-22,1.023112
2017-11-23,1.026304
2017-11-24,1.045084
2017-11-27,1.027358
2017-11-28,1.021831
2017-11-29,1.052883
2017-11-30,1.022492
2017-12-01,0.974092
2017-12-04,0.988726
2017-12-05,0.981556
2017-12-06,0.95063
2017-12-07,0.954417
2017-12-08,0.947174
2017-12-11,0.947095
2017-12-12,0.972679
2017-12-13,1.004186
2017-12-14,1.011816
2017-12-15,0.991309
2017-12-18,0.977912
2017-12-19,1.031916
2017-12-20,1.083683
2017-12-21,1.087773
2017-12-22,1.072978
2017-12-27,1.083774
2017-12-28,1.091068
2017-12-29,1.134503
2018-01-02,1.170079
2018-01-03,1.160178
2018-01-04,1.138147
2018-01-05,1.126065
2018-01-08,1.111286
2018-01-09,1.127635
2018-01-10,1.158501
2018-01-11,1.191584
2018-01-12,1.183713
2018-01-15,1.180713
2018-01-16,1.147672
2018-01-17,1.159415
2018-01-18,1.166585
2018-01-19,1.160149
2018-01-22,1.158698
2018-01-23,1.121332
2018-01-24,1.143194
2018-01-25,1.178034
2018-01-26,1.182081
2018-01-29,1.231326
2018-01-30,1.241413
2018-01-31,1.227537
2018-02-01,1.239693
2018-02-02,1.268796
2018-02-05,1.277754
2018-02-06,1.260771
2018-02-07,1.244931
2018-02-08,1.30027
2018-02-09,1.288124
2018-02-12,1.29979
2018-02-13,1.318316
2018-02-14,1.337308
2018-02-15,1.328986
2018-02-16,1.282851
2018-02-19,1.29114
2018-02-20,1.283116
2018-02-21,1.279864
2018-02-22,1.285509
2018-02-23,1.259133
2018-02-26,1.240655
2018-02-27,1.244325
2018-02-28,1.245213
2018-03-01,1.224254
2018-03-02,1.206327
2018-03-05,1.228732
2018-03-06,1.235378
2018-03-07,1.210562
2018-03-08,1.183003
2018-03-09,1.191027
2018-03-12,1.17446
2018-03-13,1.155571
2018-03-14,1.147075
2018-03-15,1.13208
2018-03-16,1.130162
2018-03-19,1.137349
2018-03-20,1.113618
2018-03-21,1.135466
2018-03-22,1.072745
2018-03-23,1.084491
2018-03-26,1.060944
2018-03-27,1.034767
2018-03-28,1.038868
2018-03-29,1.019692
2018-04-03,1.028208
2018-04-04,1.013241
2018-04-05,1.040067
2018-04-06,1.044045
2018-04-09,1.040077
2018-04-10,1.045136
2018-04-11,1.040675
2018-04-12,1.059209
2018-04-13,1.065518
2018-04-16,1.054575
2018-04-17,1.042652
2018-04-18,1.033641
2018-04-19,1.0892
2018-04-20,1.110167
2018-04-23,1.124651
2018-04-24,1.130224
2018-04-25,1.13479
2018-04-26,1.120776
2018-04-27,1.071904
2018-04-30,1.081422
2018-05-02,1.076184
2018-05-03,1.067252
2018-05-04,1.078165
2018-05-07,1.068665
2018-05-08,1.10919
2018-05-09,1.1021
2018-05-10,1.086265
2018-05-11,1.094678
2018-05-14,1.128084
2018-05-15,1.157608
2018-05-16,1.147216
2018-05-17,1.178164
2018-05-18,1.189928
2018-05-21,1.202586
2018-05-22,1.205917
2018-05-23,1.193987
2018-05-24,1.160253
2018-05-25,1.148517
2018-05-28,1.192891
2018-05-29,1.135688
2018-05-30,1.223873
2018-05-31,1.125874
2018-06-01,1.146793
2018-06-04,1.088254
2018-06-05,1.093123
2018-06-06,1.162648
2018-06-07,1.151989
2018-06-08,1.156191
2018-06-11,1.159428
2018-06-12,1.1514
2018-06-13,1.11707
2018-06-14,1.070117
2018-06-15,1.017703
2018-06-18,1.035737
2018-06-19,0.994641
2018-06-20,1.010769
2018-06-21,1.034892
2018-06-22,1.048371
2018-06-25,1.045279
2018-06-26,1.147751
2018-06-27,1.046955
2018-06-28,1.029937
2018-06-29,1.024826
2018-07-02,1.000156
2018-07-03,1.006626
2018-07-04,0.98594
2018-07-05,1.017941
2018-07-06,1.000223
2018-07-09,1.062707
2018-07-10,1.014363
2018-07-11,1.01772
2018-07-12,0.996106
2018-07-13,1.002187
2018-07-16,0.993904
2018-07-17,0.984983
2018-07-18,0.942951
2018-07-19,0.974914
2018-07-20,0.988335
2018-07-23,0.982155
2018-07-24,0.979374
2018-07-25,0.977594
2018-07-26,0.980401
2018-07-27,0.992298
2018-07-30,1.110496
2018-07-31,1.08805
2018-08-01,1.14293
2018-08-02,1.152447
2018-08-03,1.103311
2018-08-06,1.140707
2018-08-07,1.14533
2018-08-08,1.140118
2018-08-09,1.130348
2018-08-10,1.131386
2018-08-13,1.161445
2018-08-14,1.160656
2018-08-15,1.154017
2018-08-16,1.16005
2018-08-17,1.169299
2018-08-20,1.149165
2018-08-21,1.116093
2018-08-22,1.115623
2018-08-23,1.127214
2018-08-24,1.149273
2018-08-27,1.189979
2018-08-28,1.184207
2018-08-29,1.197262
2018-08-30,1.224145
2018-08-31,1.212564
2018-09-03,1.194936
2018-09-04,1.175551
2018-09-05,1.109203
2018-09-06,1.127226
2018-09-07,1.152258
2018-09-10,1.126578
2018-09-11,1.182464
2018-09-12,1.144912
2018-09-13,1.17321
2018-09-14,1.204245
2018-09-17,1.173824
2018-09-18,1.23495
2018-09-19,1.275329
2018-09-20,1.242
2018-09-21,1.236512
2018-09-24,1.289522
2018-09-25,1.298246
2018-09-26,1.292325
2018-09-27,1.307788
2018-09-28,1.257266
2018-10-01,1.269333
2018-10-02,1.26199
2018-10-03,1.262122
2018-10-04,1.316635
2018-10-05,1.358187
2018-10-08,1.367883
2018-10-09,1.379643
2018-10-10,1.366852
2018-10-11,1.370943
2018-10-12,1.365797
2018-10-15,1.355785
2018-10-16,1.3257
2018-10-17,1.279291
2018-10-18,1.381018
2018-10-19,1.380252
2018-10-22,1.411259
2018-10-23,1.39146
2018-10-24,1.392546
2018-10-25,1.331759
2018-10-26,1.293685
2018-10-29,1.300801
2018-10-30,1.32641
2018-10-31,1.246028
2018-11-01,1.286458
2018-11-02,1.294041
2018-11-05,1.284333
2018-11-06,1.312617
2018-11-07,1.314277
2018-11-08,1.283088
2018-11-09,1.275805
2018-11-12,1.269271
2018-11-13,1.283092
2018-11-14,1.300301
2018-11-15,1.32281
2018-11-16,1.327004
2018-11-19,1.35631
2018-11-20,1.352957
2018-11-21,1.336492
2018-11-22,1.325931
2018-11-23,1.290532
2018-11-26,1.255233
2018-11-27,1.264638
2018-11-28,1.256613
2018-11-29,1.201441
2018-11-30,1.211097
2018-12-03,1.200522
2018-12-04,1.168519
2018-12-05,1.169248
2018-12-06,1.162034
2018-12-07,1.194369
2018-12-10,1.180663
2018-12-11,1.167952
2018-12-12,1.158047
2018-12-13,1.151523
2018-12-14,1.145223
2018-12-17,1.148061
2018-12-18,1.131712
2018-12-19,1.150705
2018-12-20,1.127596
2018-12-21,1.140844
2018-12-27,1.149405
2018-12-28,1.165349
2019-01-02,1.103263
2019-01-03,1.149087
2019-01-04,1.187726
2019-01-07,1.167203
2019-01-08,1.189301
2019-01-09,1.120807
2019-01-10,1.063505
2019-01-11,1.041574
